BB-norm-10492485	GRAS	480-484	generally recognized as safe	450-478
BB-norm-9643457	NAP	196-199	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	346-349	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	346-349	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	464-467	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	464-467	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	803-806	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	803-806	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	1110-1113	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	1110-1113	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	1153-1156	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	1153-1156	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	1399-1402	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	1399-1402	neutrophil alkaline phosphatase	163-194
BB-norm-9643457	NAP	1518-1521	neutrophil alkaline phosphatase	31-62
BB-norm-9643457	NAP	1518-1521	neutrophil alkaline phosphatase	163-194
BB-norm-9798026	HIV	287-290	human immunodeficiency virus	109-137
BB-norm-9798026	HIV	287-290	human immunodeficiency virus	257-285
BB-norm-9798026	HIV	1012-1015	human immunodeficiency virus	109-137
BB-norm-9798026	HIV	1012-1015	human immunodeficiency virus	257-285
BB-norm-9798026	HIV	1205-1208	human immunodeficiency virus	109-137
BB-norm-9798026	HIV	1205-1208	human immunodeficiency virus	257-285
BB-norm-9864452	APase	112-117	Alkaline phosphatase	90-110
BB-norm-9864452	APase	603-608	Alkaline phosphatase	90-110
BB-norm-F-18524407-000	EPS	44-47	exopolysaccharides	24-42
BB-norm-F-18524407-000	EPS	44-47	exopolysaccharides	1113-1131
BB-norm-F-18524407-000	EPS	257-260	exopolysaccharides	24-42
BB-norm-F-18524407-000	EPS	257-260	exopolysaccharides	1113-1131
BB-norm-F-18524407-000	EPS	335-338	exopolysaccharides	24-42
BB-norm-F-18524407-000	EPS	335-338	exopolysaccharides	1113-1131
BB-norm-F-18524407-000	EPS	1610-1613	exopolysaccharides	24-42
BB-norm-F-18524407-000	EPS	1610-1613	exopolysaccharides	1113-1131
BB-norm-F-22177851-011	DMTS	286-290	dimethyl trisulfide	265-284
BB-norm-F-23224222-000	LAB	553-556	lactic acid bacteria	531-551
BB-norm-F-23224222-000	LAB	661-664	lactic acid bacteria	531-551
BB-norm-F-23224222-000	DGGE	1660-1664	denaturing gradient gel electrophoresis	1619-1658
BB-norm-F-23224222-000	DGGE	1798-1802	denaturing gradient gel electrophoresis	1619-1658
BB-norm-F-23224222-001	LAB	186-189	lactic acid bacteria	164-184
BB-norm-F-23224222-001	LAB	374-377	lactic acid bacteria	164-184
BB-norm-F-23224222-003	NSLAB	264-269	non-starter lactic acid bacteria	230-262
BB-norm-F-23224222-003	NSLAB	361-366	non-starter lactic acid bacteria	230-262
BB-norm-F-23224222-003	NSLAB	495-500	non-starter lactic acid bacteria	230-262
BB-norm-F-23224222-003	NSLAB	555-560	non-starter lactic acid bacteria	230-262
BB-norm-F-23224222-003	NSLAB	686-691	non-starter lactic acid bacteria	230-262
LICENSE	NLM	3929-3932	National Library of Medicine	3899-3927
LICENSE	NLM	3929-3932	National Library of Medicine	5409-5437
LICENSE	NLM	3936-3939	National Library of Medicine	3899-3927
LICENSE	NLM	3936-3939	National Library of Medicine	5409-5437
LICENSE	NLM	4224-4227	National Library of Medicine	3899-3927
LICENSE	NLM	4224-4227	National Library of Medicine	5409-5437
LICENSE	NLM	4403-4406	National Library of Medicine	3899-3927
LICENSE	NLM	4403-4406	National Library of Medicine	5409-5437
LICENSE	NLM	5390-5393	National Library of Medicine	3899-3927
LICENSE	NLM	5390-5393	National Library of Medicine	5409-5437
LICENSE	NLM	3929-3932	National Library of Medicine	3899-3927
LICENSE	NLM	3929-3932	National Library of Medicine	5409-5437
LICENSE	NLM	3936-3939	National Library of Medicine	3899-3927
LICENSE	NLM	3936-3939	National Library of Medicine	5409-5437
LICENSE	NLM	4224-4227	National Library of Medicine	3899-3927
LICENSE	NLM	4224-4227	National Library of Medicine	5409-5437
LICENSE	NLM	4403-4406	National Library of Medicine	3899-3927
LICENSE	NLM	4403-4406	National Library of Medicine	5409-5437
LICENSE	NLM	5390-5393	National Library of Medicine	3899-3927
LICENSE	NLM	5390-5393	National Library of Medicine	5409-5437
README	BB-norm	96-103	Bacteria Biotopes named entity normalization	50-94
README	BB-norm	642-649	Bacteria Biotopes named entity normalization	50-94
README	BB-norm	660-667	Bacteria Biotopes named entity normalization	50-94
